species,rare,Naturalised,naturalized.hybrids,vetted,invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,monoecious,wind,animal,asexual,herbaceous,variable,woody,woodiness,fleshy.fruit,ln.shybrids,ln.ghybrids
6,0,4,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
6,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
6,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,1,0,0
6,2,0,0,2,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0.5,0,0
6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,2,0,2,0,0,0,0,1,1,1,3,1,0,0,0,1,0,1,0,0,1,0.5,0,0
5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
5,0,3,0,3,0,0,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0
5,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
5,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
5,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0.693147181,0
4,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0
4,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0.5,0,0
4,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
4,0,2,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
4,1,0,0,1,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0.5,0,0
4,0,0,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,1,0,0,1,NA,0,0
3,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
3,0,1,0,1,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,NA,0,0
3,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
